Date,Open,High,Low,Close,Adj Close,Volume,Quarter
2020-03-31,57.365002,58.765499,56.907001,58.140499,58.074413,49728000,2020Q1
2020-06-30,69.522003,70.932503,69.197998,70.680496,70.600159,40848000,2020Q2
2020-09-30,73.339996,74.487503,72.994003,73.480003,73.396484,34032000,2020Q3
2020-12-31,86.771004,87.946503,86.771004,87.594002,87.494438,20238000,2020Q4
2021-03-31,102.956001,104.666351,102.83725,103.431503,103.313934,29198000,2021Q1
2021-06-30,125.653549,125.800003,124.7575,125.316002,125.173561,24006000,2021Q2
2021-09-30,134.324997,135.589996,133.0,133.265503,133.114029,35294000,2021Q3
2021-12-31,145.544006,146.365005,144.677505,144.679504,144.51506,17298000,2021Q4
2022-03-31,142.448502,142.644501,139.619003,139.649506,139.490768,29516000,2022Q1
2022-06-30,110.499496,111.329803,107.309998,109.372498,109.248177,38046000,2022Q2
2022-09-30,97.730003,99.494003,96.029999,96.150002,96.04071,26277800,2022Q3
2022-12-31,87.364998,88.830002,87.029999,88.730003,88.62915,19190300,2022Q4
